"longitude" "latitude"
"1" -73.5 -54.5
"2" -72.5 -54.5
"3" -74.5 -53.5
"4" -74.5 -52.5
"5" -73.5 -53.5
"6" -72.5 -53.5
"7" -73.5 -52.5
"8" -72.5 -52.5
"9" -75.5 -51.5
"10" -74.5 -51.5
"11" -75.5 -50.5
"12" -74.5 -50.5
"13" -73.5 -51.5
"14" -72.5 -51.5
"15" -73.5 -50.5
"16" -72.5 -50.5
"17" -75.5 -49.5
"18" -74.5 -49.5
"19" -75.5 -48.5
"20" -74.5 -48.5
"21" -73.5 -49.5
"22" -72.5 -49.5
"23" -73.5 -48.5
"24" -72.5 -48.5
"25" -70.5 -55.5
"26" -71.5 -54.5
"27" -70.5 -54.5
"28" -69.5 -55.5
"29" -68.5 -55.5
"30" -69.5 -54.5
"31" -68.5 -54.5
"32" -71.5 -53.5
"33" -70.5 -53.5
"34" -71.5 -52.5
"35" -70.5 -52.5
"36" -69.5 -53.5
"37" -68.5 -53.5
"38" -69.5 -52.5
"39" -68.5 -52.5
"40" -67.5 -55.5
"41" -66.5 -55.5
"42" -67.5 -54.5
"43" -66.5 -54.5
"44" -65.5 -54.5
"45" -67.5 -53.5
"46" -71.5 -51.5
"47" -70.5 -51.5
"48" -71.5 -50.5
"49" -70.5 -50.5
"50" -69.5 -51.5
"51" -68.5 -51.5
"52" -69.5 -50.5
"53" -68.5 -50.5
"54" -71.5 -49.5
"55" -70.5 -49.5
"56" -71.5 -48.5
"57" -70.5 -48.5
"58" -69.5 -49.5
"59" -68.5 -49.5
"60" -69.5 -48.5
"61" -68.5 -48.5
"62" -67.5 -49.5
"63" -67.5 -48.5
"64" -66.5 -48.5
"65" -75.5 -47.5
"66" -74.5 -47.5
"67" -75.5 -46.5
"68" -74.5 -46.5
"69" -73.5 -47.5
"70" -72.5 -47.5
"71" -73.5 -46.5
"72" -72.5 -46.5
"73" -74.5 -45.5
"74" -74.5 -44.5
"75" -73.5 -45.5
"76" -72.5 -45.5
"77" -73.5 -44.5
"78" -72.5 -44.5
"79" -74.5 -43.5
"80" -74.5 -42.5
"81" -73.5 -43.5
"82" -72.5 -43.5
"83" -73.5 -42.5
"84" -72.5 -42.5
"85" -73.5 -41.5
"86" -72.5 -41.5
"87" -73.5 -40.5
"88" -72.5 -40.5
"89" -71.5 -47.5
"90" -70.5 -47.5
"91" -71.5 -46.5
"92" -70.5 -46.5
"93" -69.5 -47.5
"94" -68.5 -47.5
"95" -69.5 -46.5
"96" -68.5 -46.5
"97" -71.5 -45.5
"98" -70.5 -45.5
"99" -71.5 -44.5
"100" -70.5 -44.5
"101" -69.5 -45.5
"102" -68.5 -45.5
"103" -69.5 -44.5
"104" -68.5 -44.5
"105" -67.5 -47.5
"106" -66.5 -47.5
"107" -67.5 -46.5
"108" -66.5 -46.5
"109" -65.5 -47.5
"110" -67.5 -45.5
"111" -67.5 -44.5
"112" -66.5 -44.5
"113" -65.5 -44.5
"114" -71.5 -43.5
"115" -70.5 -43.5
"116" -71.5 -42.5
"117" -70.5 -42.5
"118" -69.5 -43.5
"119" -68.5 -43.5
"120" -69.5 -42.5
"121" -68.5 -42.5
"122" -71.5 -41.5
"123" -70.5 -41.5
"124" -71.5 -40.5
"125" -70.5 -40.5
"126" -69.5 -41.5
"127" -68.5 -41.5
"128" -69.5 -40.5
"129" -68.5 -40.5
"130" -67.5 -43.5
"131" -66.5 -43.5
"132" -67.5 -42.5
"133" -66.5 -42.5
"134" -65.5 -43.5
"135" -65.5 -42.5
"136" -64.5 -42.5
"137" -67.5 -41.5
"138" -66.5 -41.5
"139" -67.5 -40.5
"140" -66.5 -40.5
"141" -65.5 -41.5
"142" -65.5 -40.5
"143" -64.5 -40.5
"144" -73.5 -39.5
"145" -72.5 -39.5
"146" -73.5 -38.5
"147" -72.5 -38.5
"148" -73.5 -37.5
"149" -72.5 -37.5
"150" -72.5 -36.5
"151" -72.5 -35.5
"152" -71.5 -39.5
"153" -70.5 -39.5
"154" -71.5 -38.5
"155" -70.5 -38.5
"156" -69.5 -39.5
"157" -68.5 -39.5
"158" -69.5 -38.5
"159" -68.5 -38.5
"160" -71.5 -37.5
"161" -70.5 -37.5
"162" -71.5 -36.5
"163" -70.5 -36.5
"164" -69.5 -37.5
"165" -68.5 -37.5
"166" -69.5 -36.5
"167" -68.5 -36.5
"168" -67.5 -39.5
"169" -66.5 -39.5
"170" -67.5 -38.5
"171" -66.5 -38.5
"172" -65.5 -39.5
"173" -64.5 -39.5
"174" -65.5 -38.5
"175" -64.5 -38.5
"176" -67.5 -37.5
"177" -66.5 -37.5
"178" -67.5 -36.5
"179" -66.5 -36.5
"180" -65.5 -37.5
"181" -64.5 -37.5
"182" -65.5 -36.5
"183" -64.5 -36.5
"184" -71.5 -35.5
"185" -70.5 -35.5
"186" -71.5 -34.5
"187" -70.5 -34.5
"188" -69.5 -35.5
"189" -68.5 -35.5
"190" -69.5 -34.5
"191" -68.5 -34.5
"192" -71.5 -33.5
"193" -70.5 -33.5
"194" -71.5 -32.5
"195" -70.5 -32.5
"196" -69.5 -33.5
"197" -68.5 -33.5
"198" -69.5 -32.5
"199" -68.5 -32.5
"200" -67.5 -35.5
"201" -66.5 -35.5
"202" -67.5 -34.5
"203" -66.5 -34.5
"204" -65.5 -35.5
"205" -64.5 -35.5
"206" -65.5 -34.5
"207" -64.5 -34.5
"208" -67.5 -33.5
"209" -66.5 -33.5
"210" -67.5 -32.5
"211" -66.5 -32.5
"212" -65.5 -33.5
"213" -64.5 -33.5
"214" -65.5 -32.5
"215" -64.5 -32.5
"216" -71.5 -31.5
"217" -70.5 -31.5
"218" -71.5 -30.5
"219" -70.5 -30.5
"220" -69.5 -31.5
"221" -68.5 -31.5
"222" -69.5 -30.5
"223" -68.5 -30.5
"224" -71.5 -29.5
"225" -70.5 -29.5
"226" -71.5 -28.5
"227" -70.5 -28.5
"228" -69.5 -29.5
"229" -68.5 -29.5
"230" -69.5 -28.5
"231" -68.5 -28.5
"232" -67.5 -31.5
"233" -66.5 -31.5
"234" -67.5 -30.5
"235" -66.5 -30.5
"236" -65.5 -31.5
"237" -64.5 -31.5
"238" -65.5 -30.5
"239" -64.5 -30.5
"240" -67.5 -29.5
"241" -66.5 -29.5
"242" -67.5 -28.5
"243" -66.5 -28.5
"244" -65.5 -29.5
"245" -64.5 -29.5
"246" -65.5 -28.5
"247" -64.5 -28.5
"248" -70.5 -27.5
"249" -70.5 -26.5
"250" -69.5 -27.5
"251" -68.5 -27.5
"252" -69.5 -26.5
"253" -68.5 -26.5
"254" -70.5 -25.5
"255" -70.5 -24.5
"256" -69.5 -25.5
"257" -68.5 -25.5
"258" -69.5 -24.5
"259" -68.5 -24.5
"260" -67.5 -27.5
"261" -66.5 -27.5
"262" -67.5 -26.5
"263" -66.5 -26.5
"264" -65.5 -27.5
"265" -64.5 -27.5
"266" -65.5 -26.5
"267" -64.5 -26.5
"268" -67.5 -25.5
"269" -66.5 -25.5
"270" -67.5 -24.5
"271" -66.5 -24.5
"272" -65.5 -25.5
"273" -64.5 -25.5
"274" -65.5 -24.5
"275" -64.5 -24.5
"276" -72.5 -16.5
"277" -70.5 -23.5
"278" -70.5 -22.5
"279" -69.5 -23.5
"280" -68.5 -23.5
"281" -69.5 -22.5
"282" -68.5 -22.5
"283" -70.5 -21.5
"284" -70.5 -20.5
"285" -69.5 -21.5
"286" -68.5 -21.5
"287" -69.5 -20.5
"288" -68.5 -20.5
"289" -67.5 -23.5
"290" -66.5 -23.5
"291" -67.5 -22.5
"292" -66.5 -22.5
"293" -65.5 -23.5
"294" -64.5 -23.5
"295" -65.5 -22.5
"296" -64.5 -22.5
"297" -67.5 -21.5
"298" -66.5 -21.5
"299" -67.5 -20.5
"300" -66.5 -20.5
"301" -65.5 -21.5
"302" -64.5 -21.5
"303" -65.5 -20.5
"304" -64.5 -20.5
"305" -70.5 -19.5
"306" -70.5 -18.5
"307" -69.5 -19.5
"308" -68.5 -19.5
"309" -69.5 -18.5
"310" -68.5 -18.5
"311" -71.5 -17.5
"312" -70.5 -17.5
"313" -71.5 -16.5
"314" -70.5 -16.5
"315" -69.5 -17.5
"316" -68.5 -17.5
"317" -69.5 -16.5
"318" -68.5 -16.5
"319" -67.5 -19.5
"320" -66.5 -19.5
"321" -67.5 -18.5
"322" -66.5 -18.5
"323" -65.5 -19.5
"324" -64.5 -19.5
"325" -65.5 -18.5
"326" -64.5 -18.5
"327" -67.5 -17.5
"328" -66.5 -17.5
"329" -67.5 -16.5
"330" -66.5 -16.5
"331" -65.5 -17.5
"332" -64.5 -17.5
"333" -65.5 -16.5
"334" -64.5 -16.5
"335" -80.5 -5.5
"336" -80.5 -4.5
"337" -80.5 -3.5
"338" -80.5 -2.5
"339" -80.5 -1.5
"340" -80.5 -0.5
"341" -76.5 -13.5
"342" -76.5 -12.5
"343" -74.5 -15.5
"344" -75.5 -14.5
"345" -74.5 -14.5
"346" -73.5 -15.5
"347" -72.5 -15.5
"348" -73.5 -14.5
"349" -72.5 -14.5
"350" -75.5 -13.5
"351" -74.5 -13.5
"352" -75.5 -12.5
"353" -74.5 -12.5
"354" -73.5 -13.5
"355" -72.5 -13.5
"356" -73.5 -12.5
"357" -72.5 -12.5
"358" -77.5 -11.5
"359" -76.5 -11.5
"360" -77.5 -10.5
"361" -76.5 -10.5
"362" -78.5 -9.5
"363" -79.5 -8.5
"364" -78.5 -8.5
"365" -77.5 -9.5
"366" -76.5 -9.5
"367" -77.5 -8.5
"368" -76.5 -8.5
"369" -75.5 -11.5
"370" -74.5 -11.5
"371" -75.5 -10.5
"372" -74.5 -10.5
"373" -73.5 -11.5
"374" -72.5 -11.5
"375" -73.5 -10.5
"376" -72.5 -10.5
"377" -75.5 -9.5
"378" -74.5 -9.5
"379" -75.5 -8.5
"380" -74.5 -8.5
"381" -73.5 -9.5
"382" -72.5 -9.5
"383" -73.5 -8.5
"384" -72.5 -8.5
"385" -71.5 -15.5
"386" -70.5 -15.5
"387" -71.5 -14.5
"388" -70.5 -14.5
"389" -69.5 -15.5
"390" -68.5 -15.5
"391" -69.5 -14.5
"392" -68.5 -14.5
"393" -71.5 -13.5
"394" -70.5 -13.5
"395" -71.5 -12.5
"396" -70.5 -12.5
"397" -69.5 -13.5
"398" -68.5 -13.5
"399" -69.5 -12.5
"400" -68.5 -12.5
"401" -67.5 -15.5
"402" -66.5 -15.5
"403" -67.5 -14.5
"404" -66.5 -14.5
"405" -65.5 -15.5
"406" -64.5 -15.5
"407" -65.5 -14.5
"408" -64.5 -14.5
"409" -67.5 -13.5
"410" -66.5 -13.5
"411" -67.5 -12.5
"412" -66.5 -12.5
"413" -65.5 -13.5
"414" -64.5 -13.5
"415" -65.5 -12.5
"416" -64.5 -12.5
"417" -71.5 -11.5
"418" -70.5 -11.5
"419" -71.5 -10.5
"420" -70.5 -10.5
"421" -69.5 -11.5
"422" -68.5 -11.5
"423" -69.5 -10.5
"424" -68.5 -10.5
"425" -71.5 -9.5
"426" -70.5 -9.5
"427" -71.5 -8.5
"428" -70.5 -8.5
"429" -69.5 -9.5
"430" -68.5 -9.5
"431" -69.5 -8.5
"432" -68.5 -8.5
"433" -67.5 -11.5
"434" -66.5 -11.5
"435" -67.5 -10.5
"436" -66.5 -10.5
"437" -65.5 -11.5
"438" -64.5 -11.5
"439" -65.5 -10.5
"440" -64.5 -10.5
"441" -67.5 -9.5
"442" -66.5 -9.5
"443" -67.5 -8.5
"444" -66.5 -8.5
"445" -65.5 -9.5
"446" -64.5 -9.5
"447" -65.5 -8.5
"448" -64.5 -8.5
"449" -79.5 -7.5
"450" -78.5 -7.5
"451" -79.5 -6.5
"452" -78.5 -6.5
"453" -77.5 -7.5
"454" -76.5 -7.5
"455" -77.5 -6.5
"456" -76.5 -6.5
"457" -79.5 -5.5
"458" -78.5 -5.5
"459" -79.5 -4.5
"460" -78.5 -4.5
"461" -77.5 -5.5
"462" -76.5 -5.5
"463" -77.5 -4.5
"464" -76.5 -4.5
"465" -75.5 -7.5
"466" -74.5 -7.5
"467" -75.5 -6.5
"468" -74.5 -6.5
"469" -73.5 -7.5
"470" -72.5 -7.5
"471" -73.5 -6.5
"472" -72.5 -6.5
"473" -75.5 -5.5
"474" -74.5 -5.5
"475" -75.5 -4.5
"476" -74.5 -4.5
"477" -73.5 -5.5
"478" -72.5 -5.5
"479" -73.5 -4.5
"480" -72.5 -4.5
"481" -79.5 -3.5
"482" -78.5 -3.5
"483" -79.5 -2.5
"484" -78.5 -2.5
"485" -77.5 -3.5
"486" -76.5 -3.5
"487" -77.5 -2.5
"488" -76.5 -2.5
"489" -79.5 -1.5
"490" -78.5 -1.5
"491" -79.5 -0.5
"492" -78.5 -0.5
"493" -77.5 -1.5
"494" -76.5 -1.5
"495" -77.5 -0.5
"496" -76.5 -0.5
"497" -75.5 -3.5
"498" -74.5 -3.5
"499" -75.5 -2.5
"500" -74.5 -2.5
"501" -73.5 -3.5
"502" -72.5 -3.5
"503" -73.5 -2.5
"504" -72.5 -2.5
"505" -75.5 -1.5
"506" -74.5 -1.5
"507" -75.5 -0.5
"508" -74.5 -0.5
"509" -73.5 -1.5
"510" -72.5 -1.5
"511" -73.5 -0.5
"512" -72.5 -0.5
"513" -71.5 -7.5
"514" -70.5 -7.5
"515" -71.5 -6.5
"516" -70.5 -6.5
"517" -69.5 -7.5
"518" -68.5 -7.5
"519" -69.5 -6.5
"520" -68.5 -6.5
"521" -71.5 -5.5
"522" -70.5 -5.5
"523" -71.5 -4.5
"524" -70.5 -4.5
"525" -69.5 -5.5
"526" -68.5 -5.5
"527" -69.5 -4.5
"528" -68.5 -4.5
"529" -67.5 -7.5
"530" -66.5 -7.5
"531" -67.5 -6.5
"532" -66.5 -6.5
"533" -65.5 -7.5
"534" -64.5 -7.5
"535" -65.5 -6.5
"536" -64.5 -6.5
"537" -67.5 -5.5
"538" -66.5 -5.5
"539" -67.5 -4.5
"540" -66.5 -4.5
"541" -65.5 -5.5
"542" -64.5 -5.5
"543" -65.5 -4.5
"544" -64.5 -4.5
"545" -71.5 -3.5
"546" -70.5 -3.5
"547" -71.5 -2.5
"548" -70.5 -2.5
"549" -69.5 -3.5
"550" -68.5 -3.5
"551" -69.5 -2.5
"552" -68.5 -2.5
"553" -71.5 -1.5
"554" -70.5 -1.5
"555" -71.5 -0.5
"556" -70.5 -0.5
"557" -69.5 -1.5
"558" -68.5 -1.5
"559" -69.5 -0.5
"560" -68.5 -0.5
"561" -67.5 -3.5
"562" -66.5 -3.5
"563" -67.5 -2.5
"564" -66.5 -2.5
"565" -65.5 -3.5
"566" -64.5 -3.5
"567" -65.5 -2.5
"568" -64.5 -2.5
"569" -67.5 -1.5
