"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	30	0	"ROOT"
"2"	1	2	25	0	"Genetic"
"3"	1	3	23	0	"Genetic"
"4"	1	4	18	0	"Genetic"
"5"	2	5	18	0	"Genetic"
"6"	2	6	18	0	"Genetic"
"7"	3	7	18	0	"Genetic"
"8"	1	8	16	16	"Genetic"
"9"	1	9	16	0	"Genetic"
"10"	2	10	16	0	"Genetic"
"11"	1	11	15	0	"Genetic"
"12"	4	12	15	0	"Genetic"
"13"	4	13	15	0	"Genetic"
"14"	5	14	15	0	"Genetic"
"15"	6	15	15	0	"Genetic"
"16"	2	16	14	0	"Genetic"
"17"	2	17	14	0	"Genetic"
"18"	9	18	14	0	"Genetic"
"19"	11	19	14	0	"Genetic"
"20"	13	20	14	0	"Genetic"
"21"	5	21	13	0	"Genetic"
"22"	9	22	13	0	"Genetic"
"23"	13	23	13	0	"Genetic"
"24"	1	24	12	0	"Genetic"
"25"	2	25	12	0	"Genetic"
"26"	11	26	12	0	"Genetic"
"27"	11	27	12	0	"Genetic"
"28"	15	28	12	0	"Genetic"
"29"	17	29	12	0	"Genetic"
"30"	22	30	12	0	"Genetic"
"31"	23	31	12	0	"Genetic"
"32"	11	32	11	0	"Genetic"
"33"	11	33	11	0	"Genetic"
"34"	18	34	11	0	"Genetic"
"35"	7	35	10	0	"Genetic"
"36"	23	36	10	0	"Genetic"
"37"	23	37	10	0	"Genetic"
"38"	27	38	10	0	"Genetic"
"39"	31	39	10	0	"Genetic"
"40"	1	40	9	0	"Genetic"
"41"	12	41	9	0	"Genetic"
"42"	19	42	9	0	"Genetic"
"43"	28	43	9	0	"Genetic"
"44"	39	44	9	0	"Genetic"
"45"	1	45	8	0	"Genetic"
"46"	2	46	8	0	"Genetic"
"47"	2	47	8	0	"Genetic"
"48"	3	48	8	0	"Genetic"
"49"	4	49	8	0	"Genetic"
"50"	4	50	8	0	"Genetic"
"51"	11	51	8	0	"Genetic"
"52"	11	52	8	0	"Genetic"
"53"	21	53	8	0	"Genetic"
"54"	21	54	8	0	"Genetic"
"55"	24	55	8	0	"Genetic"
"56"	34	56	8	0	"Genetic"
"57"	34	57	8	0	"Genetic"
"58"	1	58	7	0	"Genetic"
"59"	1	59	7	0	"Genetic"
"60"	6	60	7	0	"Genetic"
"61"	9	61	7	0	"Genetic"
"62"	11	62	7	0	"Genetic"
"63"	11	63	7	0	"Genetic"
"64"	11	64	7	0	"Genetic"
"65"	11	65	7	0	"Genetic"
"66"	15	66	7	0	"Genetic"
"67"	18	67	7	0	"Genetic"
"68"	22	68	7	0	"Genetic"
"69"	32	69	7	0	"Genetic"
"70"	36	70	7	0	"Genetic"
"71"	36	71	7	0	"Genetic"
"72"	42	72	7	0	"Genetic"
"73"	49	73	7	0	"Genetic"
"74"	55	74	7	0	"Genetic"
"75"	2	75	6	0	"Genetic"
"76"	5	76	6	0	"Genetic"
"77"	11	77	6	0	"Genetic"
"78"	12	78	6	0	"Genetic"
"79"	12	79	6	0	"Genetic"
"80"	16	80	6	0	"Genetic"
"81"	16	81	6	0	"Genetic"
"82"	20	82	6	0	"Genetic"
"83"	29	83	6	0	"Genetic"
"84"	29	84	6	0	"Genetic"
"85"	30	85	6	0	"Genetic"
"86"	33	86	6	0	"Genetic"
"87"	33	87	6	0	"Genetic"
"88"	33	88	6	0	"Genetic"
"89"	45	89	6	0	"Genetic"
"90"	45	90	6	0	"Genetic"
"91"	45	91	6	0	"Genetic"
"92"	56	92	6	0	"Genetic"
"93"	68	93	6	0	"Genetic"
"94"	1	94	5	0	"Genetic"
"95"	1	95	5	0	"Genetic"
"96"	2	96	5	0	"Genetic"
"97"	11	97	5	0	"Genetic"
"98"	22	98	5	0	"Genetic"
"99"	23	99	5	0	"Genetic"
"100"	24	100	5	0	"Genetic"
"101"	24	101	5	0	"Genetic"
"102"	29	102	5	0	"Genetic"
"103"	29	103	5	0	"Genetic"
"104"	29	104	5	0	"Genetic"
"105"	31	105	5	0	"Genetic"
"106"	33	106	5	0	"Genetic"
"107"	33	107	5	0	"Genetic"
"108"	44	108	5	0	"Genetic"
"109"	52	109	5	0	"Genetic"
"110"	59	110	5	0	"Genetic"
"111"	66	111	5	0	"Genetic"
"112"	73	112	5	0	"Genetic"
"113"	75	113	5	0	"Genetic"
"114"	76	114	5	0	"Genetic"
"115"	91	115	5	0	"Genetic"
"116"	92	116	5	0	"Genetic"
"117"	92	117	5	0	"Genetic"
"118"	3	118	4	0	"Genetic"
"119"	3	119	4	0	"Genetic"
"120"	3	120	4	0	"Genetic"
"121"	4	121	4	0	"Genetic"
"122"	5	122	4	0	"Genetic"
"123"	12	123	4	0	"Genetic"
"124"	12	124	4	4	"Genetic"
"125"	18	125	4	0	"Genetic"
"126"	22	126	4	0	"Genetic"
"127"	22	127	4	0	"Genetic"
"128"	22	128	4	0	"Genetic"
"129"	23	129	4	0	"Genetic"
"130"	30	130	4	0	"Genetic"
"131"	31	131	4	0	"Genetic"
"132"	31	132	4	0	"Genetic"
"133"	33	133	4	0	"Genetic"
"134"	36	134	4	0	"Genetic"
"135"	36	135	4	4	"Genetic"
"136"	36	136	4	0	"Genetic"
"137"	39	137	4	0	"Genetic"
"138"	44	138	4	0	"Genetic"
"139"	44	139	4	0	"Genetic"
"140"	61	140	4	0	"Genetic"
"141"	61	141	4	0	"Genetic"
"142"	64	142	4	0	"Genetic"
"143"	88	143	4	0	"Genetic"
"144"	112	144	4	0	"Genetic"
"145"	1	145	3	0	"Genetic"
"146"	1	146	3	0	"Genetic"
"147"	1	147	3	0	"Genetic"
"148"	4	148	3	0	"Genetic"
"149"	6	149	3	0	"Genetic"
"150"	7	150	3	0	"Genetic"
"151"	7	151	3	0	"Genetic"
"152"	11	152	3	0	"Genetic"
"153"	11	153	3	0	"Genetic"
"154"	15	154	3	0	"Genetic"
"155"	16	155	3	0	"Genetic"
"156"	18	156	3	0	"Genetic"
"157"	21	157	3	0	"Genetic"
"158"	21	158	3	0	"Genetic"
"159"	22	159	3	0	"Genetic"
"160"	36	160	3	0	"Genetic"
"161"	37	161	3	0	"Genetic"
"162"	39	162	3	0	"Genetic"
"163"	39	163	3	0	"Genetic"
"164"	47	164	3	0	"Genetic"
"165"	48	165	3	0	"Genetic"
"166"	61	166	3	0	"Genetic"
"167"	64	167	3	0	"Genetic"
"168"	64	168	3	0	"Genetic"
"169"	64	169	3	0	"Genetic"
"170"	78	170	3	0	"Genetic"
"171"	87	171	3	0	"Genetic"
"172"	96	172	3	0	"Genetic"
"173"	99	173	3	0	"Genetic"
"174"	111	174	3	0	"Genetic"
"175"	114	175	3	0	"Genetic"
"176"	115	176	3	0	"Genetic"
"177"	126	177	3	0	"Genetic"
"178"	127	178	3	0	"Genetic"
"179"	127	179	3	0	"Genetic"
"180"	136	180	3	0	"Genetic"
"181"	6	181	2	0	"Genetic"
"182"	6	182	2	0	"Genetic"
"183"	7	183	2	0	"Genetic"
"184"	10	184	2	0	"Genetic"
"185"	14	185	2	0	"Genetic"
"186"	14	186	2	0	"Genetic"
"187"	15	187	2	0	"Genetic"
"188"	16	188	2	0	"Genetic"
"189"	18	189	2	0	"Genetic"
"190"	22	190	2	0	"Genetic"
"191"	22	191	2	0	"Genetic"
"192"	22	192	2	0	"Genetic"
"193"	34	193	2	0	"Genetic"
"194"	46	194	2	0	"Genetic"
"195"	48	195	2	0	"Genetic"
"196"	50	196	2	0	"Genetic"
"197"	54	197	2	0	"Genetic"
"198"	57	198	2	0	"Genetic"
"199"	57	199	2	0	"Genetic"
"200"	61	200	2	0	"Genetic"
"201"	61	201	2	0	"Genetic"
"202"	66	202	2	0	"Genetic"
"203"	69	203	2	0	"Genetic"
"204"	76	204	2	0	"Genetic"
"205"	76	205	2	0	"Genetic"
