"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	900	857	"ROOT"
"2"	1	2	886	857	"Genetic"
"3"	2	3	885	857	"Genetic"
"4"	1	4	884	857	"Genetic"
"5"	1	5	884	857	"Genetic"
"6"	1	6	883	857	"Genetic"
"7"	1	7	882	857	"Genetic"
"8"	1	8	882	857	"Genetic"
"9"	1	9	882	857	"Genetic"
"10"	1	10	882	857	"Genetic"
"11"	1	11	882	857	"Genetic"
"12"	1	12	882	857	"Genetic"
"13"	6	13	881	857	"Genetic"
"14"	9	14	881	857	"Genetic"
"15"	9	15	881	857	"Genetic"
"16"	9	16	881	857	"Genetic"
"17"	9	17	881	857	"Genetic"
"18"	6	18	880	857	"Genetic"
"19"	13	19	880	857	"Genetic"
"20"	14	20	880	857	"Genetic"
"21"	14	21	880	857	"Genetic"
"22"	14	22	880	857	"Genetic"
"23"	14	23	880	857	"Genetic"
"24"	14	24	880	857	"Genetic"
"25"	14	25	880	857	"Genetic"
"26"	14	26	879	857	"Genetic"
"27"	14	27	879	857	"Genetic"
"28"	14	28	879	857	"Genetic"
"29"	14	29	879	857	"Genetic"
"30"	14	30	879	857	"Genetic"
"31"	14	31	879	857	"Genetic"
"32"	14	32	879	857	"Genetic"
"33"	14	33	879	857	"Genetic"
"34"	14	34	879	857	"Genetic"
"35"	17	35	879	857	"Genetic"
"36"	25	36	879	857	"Genetic"
"37"	15	37	878	857	"Genetic"
"38"	26	38	878	857	"Genetic"
"39"	26	39	878	857	"Genetic"
"40"	26	40	878	857	"Genetic"
"41"	26	41	878	857	"Genetic"
"42"	26	42	878	857	"Genetic"
"43"	32	43	878	857	"Genetic"
"44"	32	44	878	857	"Genetic"
"45"	35	45	878	857	"Genetic"
"46"	27	46	877	857	"Genetic"
"47"	36	47	877	857	"Genetic"
"48"	39	48	877	857	"Genetic"
"49"	43	49	877	857	"Genetic"
"50"	14	50	876	857	"Genetic"
"51"	15	51	876	857	"Genetic"
"52"	15	52	876	857	"Genetic"
"53"	30	53	876	857	"Genetic"
"54"	30	54	876	857	"Genetic"
"55"	30	55	876	857	"Genetic"
"56"	39	56	876	857	"Genetic"
"57"	3	57	875	857	"Genetic"
"58"	7	58	875	857	"Genetic"
"59"	17	59	875	857	"Genetic"
"60"	23	60	875	857	"Genetic"
"61"	30	61	874	857	"Genetic"
"62"	49	62	874	857	"Genetic"
"63"	51	63	874	857	"Genetic"
"64"	51	64	874	857	"Genetic"
"65"	53	65	873	857	"Genetic"
"66"	53	66	873	857	"Genetic"
"67"	28	67	872	857	"Genetic"
"68"	17	68	871	857	"Genetic"
"69"	57	69	871	857	"Genetic"
"70"	38	70	870	857	"Genetic"
"71"	45	71	870	857	"Genetic"
"72"	49	72	870	857	"Genetic"
"73"	49	73	870	857	"Genetic"
"74"	49	74	870	857	"Genetic"
"75"	12	75	869	857	"Genetic"
"76"	47	76	869	857	"Genetic"
"77"	48	77	869	857	"Genetic"
"78"	54	78	869	857	"Genetic"
"79"	54	79	869	857	"Genetic"
"80"	65	80	869	857	"Genetic"
"81"	70	81	869	857	"Genetic"
"82"	12	82	868	857	"Genetic"
"83"	12	83	868	857	"Genetic"
"84"	19	84	868	857	"Genetic"
"85"	48	85	868	857	"Genetic"
"86"	49	86	868	857	"Genetic"
"87"	61	87	868	857	"Genetic"
"88"	75	88	868	857	"Genetic"
"89"	2	89	867	857	"Genetic"
"90"	3	90	867	857	"Genetic"
"91"	3	91	867	857	"Genetic"
"92"	12	92	867	857	"Genetic"
"93"	12	93	867	857	"Genetic"
"94"	15	94	867	857	"Genetic"
"95"	19	95	867	857	"Genetic"
"96"	43	96	867	857	"Genetic"
"97"	47	97	867	857	"Genetic"
"98"	49	98	867	857	"Genetic"
"99"	84	99	867	857	"Genetic"
"100"	2	100	866	857	"Genetic"
"101"	4	101	866	857	"Genetic"
"102"	4	102	866	857	"Genetic"
"103"	8	103	866	857	"Genetic"
"104"	11	104	866	857	"Genetic"
"105"	14	105	866	857	"Genetic"
"106"	23	106	866	857	"Genetic"
"107"	38	107	866	857	"Genetic"
"108"	39	108	866	857	"Genetic"
"109"	47	109	866	857	"Genetic"
"110"	47	110	866	857	"Genetic"
"111"	85	111	866	857	"Genetic"
"112"	86	112	866	857	"Genetic"
"113"	86	113	866	857	"Genetic"
"114"	92	114	866	857	"Genetic"
"115"	92	115	866	857	"Genetic"
"116"	93	116	866	857	"Genetic"
"117"	2	117	865	857	"Genetic"
"118"	3	118	865	857	"Genetic"
"119"	3	119	865	857	"Genetic"
"120"	10	120	865	857	"Genetic"
"121"	10	121	865	857	"Genetic"
"122"	11	122	865	857	"Genetic"
"123"	12	123	865	857	"Genetic"
"124"	13	124	865	857	"Genetic"
"125"	15	125	865	857	"Genetic"
"126"	15	126	865	857	"Genetic"
"127"	26	127	865	857	"Genetic"
"128"	28	128	865	857	"Genetic"
"129"	38	129	865	857	"Genetic"
"130"	39	130	865	857	"Genetic"
"131"	43	131	865	857	"Genetic"
"132"	43	132	865	857	"Genetic"
"133"	50	133	865	857	"Genetic"
"134"	58	134	865	857	"Genetic"
"135"	75	135	865	857	"Genetic"
"136"	75	136	865	857	"Genetic"
"137"	83	137	865	857	"Genetic"
"138"	98	138	865	857	"Genetic"
"139"	98	139	865	857	"Genetic"
"140"	101	140	865	857	"Genetic"
"141"	101	141	865	857	"Genetic"
"142"	104	142	865	857	"Genetic"
"143"	2	143	864	857	"Genetic"
"144"	4	144	864	857	"Genetic"
"145"	4	145	864	857	"Genetic"
"146"	4	146	864	857	"Genetic"
"147"	5	147	864	857	"Genetic"
"148"	5	148	864	857	"Genetic"
"149"	5	149	864	857	"Genetic"
"150"	8	150	864	857	"Genetic"
"151"	8	151	864	857	"Genetic"
"152"	10	152	864	857	"Genetic"
"153"	13	153	864	857	"Genetic"
"154"	15	154	864	857	"Genetic"
"155"	18	155	864	857	"Genetic"
"156"	18	156	864	857	"Genetic"
"157"	19	157	864	857	"Genetic"
"158"	19	158	864	857	"Genetic"
"159"	27	159	864	857	"Genetic"
"160"	28	160	864	857	"Genetic"
"161"	30	161	864	857	"Genetic"
"162"	31	162	864	857	"Genetic"
"163"	32	163	864	857	"Genetic"
"164"	33	164	864	857	"Genetic"
"165"	49	165	864	857	"Genetic"
"166"	50	166	864	857	"Genetic"
"167"	59	167	864	857	"Genetic"
"168"	70	168	864	857	"Genetic"
"169"	77	169	864	857	"Genetic"
"170"	91	170	864	857	"Genetic"
"171"	95	171	864	857	"Genetic"
"172"	98	172	864	857	"Genetic"
"173"	101	173	864	857	"Genetic"
"174"	101	174	864	857	"Genetic"
"175"	101	175	864	857	"Genetic"
"176"	108	176	864	857	"Genetic"
"177"	134	177	864	857	"Genetic"
"178"	134	178	864	857	"Genetic"
"179"	136	179	864	857	"Genetic"
"180"	137	180	864	857	"Genetic"
"181"	142	181	864	857	"Genetic"
"182"	3	182	863	857	"Genetic"
"183"	4	183	863	857	"Genetic"
"184"	4	184	863	857	"Genetic"
"185"	7	185	863	857	"Genetic"
"186"	8	186	863	857	"Genetic"
"187"	18	187	863	857	"Genetic"
"188"	27	188	863	857	"Genetic"
"189"	27	189	863	857	"Genetic"
"190"	30	190	863	857	"Genetic"
"191"	34	191	863	857	"Genetic"
"192"	43	192	863	857	"Genetic"
"193"	45	193	863	857	"Genetic"
"194"	47	194	863	857	"Genetic"
"195"	47	195	863	857	"Genetic"
"196"	47	196	863	857	"Genetic"
"197"	53	197	863	857	"Genetic"
"198"	71	198	863	857	"Genetic"
"199"	78	199	863	857	"Genetic"
"200"	78	200	863	857	"Genetic"
"201"	98	201	863	857	"Genetic"
"202"	98	202	863	857	"Genetic"
"203"	101	203	863	857	"Genetic"
"204"	106	204	863	857	"Genetic"
"205"	109	205	863	857	"Genetic"
"206"	120	206	863	857	"Genetic"
"207"	120	207	863	857	"Genetic"
"208"	121	208	863	857	"Genetic"
"209"	134	209	863	857	"Genetic"
"210"	147	210	863	857	"Genetic"
"211"	147	211	863	857	"Genetic"
"212"	147	212	863	857	"Genetic"
"213"	147	213	863	857	"Genetic"
"214"	163	214	863	857	"Genetic"
"215"	172	215	863	857	"Genetic"
"216"	178	216	863	857	"Genetic"
"217"	2	217	862	857	"Genetic"
"218"	2	218	862	857	"Genetic"
"219"	4	219	862	857	"Genetic"
"220"	7	220	862	857	"Genetic"
"221"	7	221	862	857	"Genetic"
"222"	7	222	862	857	"Genetic"
"223"	8	223	862	857	"Genetic"
"224"	16	224	862	857	"Genetic"
"225"	17	225	862	857	"Genetic"
"226"	18	226	862	857	"Genetic"
"227"	19	227	862	857	"Genetic"
"228"	20	228	862	857	"Genetic"
"229"	20	229	862	857	"Genetic"
"230"	24	230	862	857	"Genetic"
"231"	27	231	862	857	"Genetic"
"232"	27	232	862	857	"Genetic"
"233"	28	233	862	857	"Genetic"
"234"	47	234	862	857	"Genetic"
"235"	48	235	862	857	"Genetic"
"236"	57	236	862	857	"Genetic"
"237"	59	237	862	857	"Genetic"
"238"	61	238	862	857	"Genetic"
"239"	77	239	862	857	"Genetic"
"240"	77	240	862	857	"Genetic"
"241"	78	241	862	857	"Genetic"
"242"	78	242	862	857	"Genetic"
"243"	91	243	862	857	"Genetic"
"244"	95	244	862	857	"Genetic"
"245"	101	245	862	857	"Genetic"
"246"	101	246	862	857	"Genetic"
"247"	109	247	862	857	"Genetic"
"248"	132	248	862	857	"Genetic"
"249"	133	249	862	857	"Genetic"
"250"	134	250	862	857	"Genetic"
"251"	147	251	862	857	"Genetic"
"252"	147	252	862	857	"Genetic"
"253"	147	253	862	857	"Genetic"
"254"	147	254	862	857	"Genetic"
"255"	147	255	862	857	"Genetic"
"256"	147	256	862	857	"Genetic"
"257"	160	257	862	857	"Genetic"
"258"	183	258	862	857	"Genetic"
"259"	193	259	862	857	"Genetic"
"260"	194	260	862	857	"Genetic"
"261"	194	261	862	857	"Genetic"
"262"	194	262	862	857	"Genetic"
"263"	195	263	862	857	"Genetic"
"264"	196	264	862	857	"Genetic"
"265"	211	265	862	857	"Genetic"
"266"	211	266	862	857	"Genetic"
"267"	213	267	862	857	"Genetic"
"268"	2	268	861	857	"Genetic"
"269"	2	269	861	857	"Genetic"
"270"	2	270	861	857	"Genetic"
"271"	3	271	861	857	"Genetic"
"272"	9	272	861	857	"Genetic"
"273"	11	273	861	857	"Genetic"
"274"	11	274	861	857	"Genetic"
"275"	11	275	861	857	"Genetic"
"276"	17	276	861	857	"Genetic"
"277"	17	277	861	857	"Genetic"
"278"	20	278	861	857	"Genetic"
"279"	20	279	861	857	"Genetic"
"280"	24	280	861	857	"Genetic"
"281"	24	281	861	857	"Genetic"
"282"	24	282	861	857	"Genetic"
"283"	24	283	861	857	"Genetic"
"284"	25	284	861	857	"Genetic"
"285"	25	285	861	857	"Genetic"
"286"	25	286	861	857	"Genetic"
"287"	25	287	861	857	"Genetic"
"288"	26	288	861	857	"Genetic"
"289"	26	289	861	857	"Genetic"
"290"	26	290	861	857	"Genetic"
"291"	28	291	861	857	"Genetic"
"292"	30	292	861	857	"Genetic"
"293"	30	293	861	857	"Genetic"
"294"	31	294	861	857	"Genetic"
"295"	31	295	861	857	"Genetic"
"296"	34	296	861	857	"Genetic"
"297"	34	297	861	857	"Genetic"
"298"	34	298	861	857	"Genetic"
"299"	35	299	861	857	"Genetic"
"300"	39	300	861	857	"Genetic"
"301"	40	301	861	857	"Genetic"
"302"	41	302	861	857	"Genetic"
"303"	47	303	861	857	"Genetic"
"304"	47	304	861	857	"Genetic"
"305"	48	305	861	857	"Genetic"
"306"	48	306	861	857	"Genetic"
"307"	52	307	861	857	"Genetic"
"308"	52	308	861	857	"Genetic"
"309"	52	309	861	857	"Genetic"
"310"	52	310	861	857	"Genetic"
"311"	53	311	861	857	"Genetic"
"312"	58	312	861	857	"Genetic"
"313"	58	313	861	857	"Genetic"
"314"	61	314	861	857	"Genetic"
"315"	79	315	861	857	"Genetic"
"316"	106	316	861	857	"Genetic"
"317"	115	317	861	857	"Genetic"
"318"	147	318	861	857	"Genetic"
"319"	147	319	861	857	"Genetic"
"320"	183	320	861	857	"Genetic"
"321"	185	321	861	857	"Genetic"
"322"	190	322	861	857	"Genetic"
"323"	193	323	861	857	"Genetic"
"324"	194	324	861	857	"Genetic"
"325"	196	325	861	857	"Genetic"
"326"	203	326	861	857	"Genetic"
"327"	206	327	861	857	"Genetic"
"328"	219	328	861	857	"Genetic"
"329"	230	329	861	857	"Genetic"
"330"	239	330	861	857	"Genetic"
"331"	243	331	861	857	"Genetic"
"332"	254	332	861	857	"Genetic"
"333"	256	333	861	857	"Genetic"
"334"	263	334	861	857	"Genetic"
"335"	264	335	861	857	"Genetic"
"336"	265	336	861	857	"Genetic"
"337"	265	337	861	857	"Genetic"
"338"	265	338	861	857	"Genetic"
"339"	1	339	860	857	"Genetic"
"340"	2	340	860	857	"Genetic"
"341"	2	341	860	857	"Genetic"
"342"	3	342	860	857	"Genetic"
"343"	3	343	860	857	"Genetic"
"344"	5	344	860	857	"Genetic"
"345"	6	345	860	857	"Genetic"
"346"	7	346	860	857	"Genetic"
"347"	14	347	860	857	"Genetic"
"348"	14	348	860	857	"Genetic"
"349"	16	349	860	857	"Genetic"
"350"	16	350	860	857	"Genetic"
"351"	18	351	860	857	"Genetic"
"352"	18	352	860	857	"Genetic"
"353"	22	353	860	857	"Genetic"
"354"	25	354	860	857	"Genetic"
"355"	27	355	860	857	"Genetic"
"356"	29	356	860	857	"Genetic"
"357"	29	357	860	857	"Genetic"
"358"	37	358	860	857	"Genetic"
"359"	39	359	860	857	"Genetic"
"360"	39	360	860	857	"Genetic"
"361"	44	361	860	857	"Genetic"
"362"	44	362	860	857	"Genetic"
"363"	45	363	860	857	"Genetic"
"364"	50	364	860	857	"Genetic"
"365"	50	365	860	857	"Genetic"
"366"	50	366	860	857	"Genetic"
"367"	50	367	860	857	"Genetic"
"368"	53	368	860	857	"Genetic"
"369"	59	369	860	857	"Genetic"
"370"	60	370	860	857	"Genetic"
"371"	69	371	860	857	"Genetic"
"372"	77	372	860	857	"Genetic"
"373"	79	373	860	857	"Genetic"
"374"	80	374	860	857	"Genetic"
"375"	90	375	860	857	"Genetic"
"376"	104	376	860	857	"Genetic"
"377"	111	377	860	857	"Genetic"
"378"	126	378	860	857	"Genetic"
"379"	134	379	860	857	"Genetic"
"380"	134	380	860	857	"Genetic"
"381"	154	381	860	857	"Genetic"
"382"	168	382	860	857	"Genetic"
"383"	194	383	860	857	"Genetic"
"384"	197	384	860	857	"Genetic"
"385"	204	385	860	857	"Genetic"
"386"	206	386	860	857	"Genetic"
"387"	219	387	860	857	"Genetic"
"388"	219	388	860	857	"Genetic"
"389"	222	389	860	857	"Genetic"
"390"	223	390	860	857	"Genetic"
"391"	223	391	860	857	"Genetic"
"392"	224	392	860	857	"Genetic"
"393"	224	393	860	857	"Genetic"
"394"	226	394	860	857	"Genetic"
"395"	226	395	860	857	"Genetic"
"396"	230	396	860	857	"Genetic"
"397"	231	397	860	857	"Genetic"
"398"	240	398	860	857	"Genetic"
"399"	242	399	860	857	"Genetic"
"400"	245	400	860	857	"Genetic"
"401"	254	401	860	857	"Genetic"
"402"	254	402	860	857	"Genetic"
"403"	254	403	860	857	"Genetic"
"404"	265	404	860	857	"Genetic"
"405"	267	405	860	857	"Genetic"
"406"	270	406	860	857	"Genetic"
"407"	270	407	860	857	"Genetic"
"408"	270	408	860	857	"Genetic"
"409"	270	409	860	857	"Genetic"
"410"	272	410	860	857	"Genetic"
"411"	272	411	860	857	"Genetic"
"412"	273	412	860	857	"Genetic"
"413"	273	413	860	857	"Genetic"
"414"	276	414	860	857	"Genetic"
"415"	276	415	860	857	"Genetic"
"416"	276	416	860	857	"Genetic"
"417"	277	417	860	857	"Genetic"
"418"	282	418	860	857	"Genetic"
"419"	283	419	860	857	"Genetic"
"420"	283	420	860	857	"Genetic"
"421"	283	421	860	857	"Genetic"
"422"	286	422	860	857	"Genetic"
"423"	291	423	860	857	"Genetic"
"424"	296	424	860	857	"Genetic"
"425"	297	425	860	857	"Genetic"
"426"	297	426	860	857	"Genetic"
"427"	299	427	860	857	"Genetic"
"428"	312	428	860	857	"Genetic"
"429"	316	429	860	857	"Genetic"
"430"	318	430	860	857	"Genetic"
"431"	328	431	860	857	"Genetic"
"432"	338	432	860	857	"Genetic"
"433"	1	433	859	857	"Genetic"
"434"	3	434	859	857	"Genetic"
"435"	9	435	859	857	"Genetic"
"436"	11	436	859	857	"Genetic"
"437"	12	437	859	857	"Genetic"
"438"	12	438	859	857	"Genetic"
"439"	13	439	859	857	"Genetic"
"440"	13	440	859	857	"Genetic"
"441"	17	441	859	857	"Genetic"
"442"	18	442	859	857	"Genetic"
"443"	18	443	859	857	"Genetic"
"444"	18	444	859	857	"Genetic"
"445"	22	445	859	857	"Genetic"
"446"	23	446	859	857	"Genetic"
"447"	24	447	859	857	"Genetic"
"448"	24	448	859	857	"Genetic"
"449"	24	449	859	857	"Genetic"
"450"	25	450	859	857	"Genetic"
"451"	26	451	859	857	"Genetic"
"452"	26	452	859	857	"Genetic"
"453"	27	453	859	857	"Genetic"
"454"	29	454	859	857	"Genetic"
"455"	30	455	859	857	"Genetic"
"456"	30	456	859	857	"Genetic"
"457"	30	457	859	857	"Genetic"
"458"	32	458	859	857	"Genetic"
"459"	39	459	859	857	"Genetic"
"460"	39	460	859	857	"Genetic"
"461"	40	461	859	857	"Genetic"
"462"	40	462	859	857	"Genetic"
"463"	41	463	859	857	"Genetic"
"464"	41	464	859	857	"Genetic"
"465"	42	465	859	857	"Genetic"
"466"	42	466	859	857	"Genetic"
"467"	42	467	859	857	"Genetic"
"468"	42	468	859	857	"Genetic"
"469"	42	469	859	857	"Genetic"
"470"	42	470	859	857	"Genetic"
"471"	46	471	859	857	"Genetic"
"472"	47	472	859	857	"Genetic"
"473"	52	473	859	857	"Genetic"
"474"	55	474	859	857	"Genetic"
"475"	59	475	859	857	"Genetic"
"476"	63	476	859	857	"Genetic"
"477"	69	477	859	857	"Genetic"
"478"	70	478	859	857	"Genetic"
"479"	77	479	859	857	"Genetic"
"480"	80	480	859	857	"Genetic"
"481"	81	481	859	857	"Genetic"
"482"	83	482	859	857	"Genetic"
"483"	94	483	859	857	"Genetic"
"484"	94	484	859	857	"Genetic"
"485"	96	485	859	857	"Genetic"
"486"	106	486	859	857	"Genetic"
"487"	109	487	859	857	"Genetic"
"488"	115	488	859	857	"Genetic"
"489"	120	489	859	857	"Genetic"
"490"	129	490	859	857	"Genetic"
"491"	131	491	859	857	"Genetic"
"492"	131	492	859	857	"Genetic"
"493"	134	493	859	857	"Genetic"
"494"	147	494	859	857	"Genetic"
"495"	168	495	859	857	"Genetic"
"496"	168	496	859	857	"Genetic"
"497"	168	497	859	857	"Genetic"
"498"	168	498	859	857	"Genetic"
"499"	187	499	859	857	"Genetic"
"500"	188	500	859	857	"Genetic"
"501"	194	501	859	857	"Genetic"
"502"	197	502	859	857	"Genetic"
"503"	197	503	859	857	"Genetic"
"504"	197	504	859	857	"Genetic"
"505"	203	505	859	857	"Genetic"
"506"	203	506	859	857	"Genetic"
"507"	219	507	859	857	"Genetic"
"508"	220	508	859	857	"Genetic"
"509"	221	509	859	857	"Genetic"
"510"	223	510	859	857	"Genetic"
"511"	223	511	859	857	"Genetic"
"512"	223	512	859	857	"Genetic"
"513"	223	513	859	857	"Genetic"
"514"	223	514	859	857	"Genetic"
"515"	223	515	859	857	"Genetic"
"516"	223	516	859	857	"Genetic"
"517"	232	517	859	857	"Genetic"
"518"	243	518	859	857	"Genetic"
"519"	248	519	859	857	"Genetic"
"520"	254	520	859	857	"Genetic"
"521"	254	521	859	857	"Genetic"
"522"	254	522	859	857	"Genetic"
"523"	258	523	859	857	"Genetic"
"524"	264	524	859	857	"Genetic"
"525"	265	525	859	857	"Genetic"
"526"	265	526	859	857	"Genetic"
"527"	267	527	859	857	"Genetic"
"528"	267	528	859	857	"Genetic"
"529"	267	529	859	857	"Genetic"
"530"	277	530	859	857	"Genetic"
"531"	277	531	859	857	"Genetic"
"532"	280	532	859	857	"Genetic"
"533"	280	533	859	857	"Genetic"
"534"	283	534	859	857	"Genetic"
"535"	283	535	859	857	"Genetic"
"536"	289	536	859	857	"Genetic"
"537"	299	537	859	857	"Genetic"
"538"	299	538	859	857	"Genetic"
"539"	356	539	859	857	"Genetic"
"540"	361	540	859	857	"Genetic"
"541"	373	541	859	857	"Genetic"
"542"	373	542	859	857	"Genetic"
"543"	380	543	859	857	"Genetic"
"544"	381	544	859	857	"Genetic"
"545"	392	545	859	857	"Genetic"
"546"	401	546	859	857	"Genetic"
"547"	401	547	859	857	"Genetic"
"548"	409	548	859	857	"Genetic"
"549"	409	549	859	857	"Genetic"
"550"	410	550	859	857	"Genetic"
"551"	414	551	859	857	"Genetic"
"552"	422	552	859	857	"Genetic"
"553"	422	553	859	857	"Genetic"
"554"	427	554	859	857	"Genetic"
"555"	431	555	859	857	"Genetic"
"556"	431	556	859	857	"Genetic"
"557"	431	557	859	857	"Genetic"
"558"	431	558	859	857	"Genetic"
"559"	9	559	858	857	"Genetic"
"560"	11	560	858	857	"Genetic"
"561"	12	561	858	857	"Genetic"
"562"	14	562	858	857	"Genetic"
"563"	15	563	858	857	"Genetic"
"564"	16	564	858	857	"Genetic"
"565"	16	565	858	857	"Genetic"
"566"	16	566	858	857	"Genetic"
"567"	16	567	858	857	"Genetic"
"568"	17	568	858	857	"Genetic"
"569"	18	569	858	857	"Genetic"
"570"	18	570	858	857	"Genetic"
"571"	20	571	858	857	"Genetic"
"572"	20	572	858	857	"Genetic"
"573"	26	573	858	857	"Genetic"
"574"	30	574	858	857	"Genetic"
"575"	32	575	858	857	"Genetic"
"576"	32	576	858	857	"Genetic"
"577"	32	577	858	857	"Genetic"
"578"	37	578	858	857	"Genetic"
"579"	38	579	858	857	"Genetic"
"580"	42	580	858	857	"Genetic"
"581"	44	581	858	857	"Genetic"
"582"	47	582	858	857	"Genetic"
"583"	50	583	858	857	"Genetic"
"584"	50	584	858	857	"Genetic"
"585"	50	585	858	857	"Genetic"
"586"	52	586	858	857	"Genetic"
"587"	58	587	858	857	"Genetic"
"588"	58	588	858	857	"Genetic"
"589"	60	589	858	857	"Genetic"
"590"	60	590	858	857	"Genetic"
"591"	61	591	858	857	"Genetic"
"592"	67	592	858	857	"Genetic"
"593"	67	593	858	857	"Genetic"
"594"	67	594	858	857	"Genetic"
"595"	69	595	858	857	"Genetic"
"596"	69	596	858	857	"Genetic"
"597"	69	597	858	857	"Genetic"
"598"	80	598	858	857	"Genetic"
"599"	80	599	858	857	"Genetic"
"600"	120	600	858	857	"Genetic"
"601"	120	601	858	857	"Genetic"
"602"	128	602	858	857	"Genetic"
"603"	129	603	858	857	"Genetic"
"604"	134	604	858	857	"Genetic"
"605"	138	605	858	857	"Genetic"
"606"	167	606	858	857	"Genetic"
"607"	171	607	858	857	"Genetic"
"608"	172	608	858	857	"Genetic"
"609"	180	609	858	857	"Genetic"
"610"	197	610	858	857	"Genetic"
"611"	200	611	858	857	"Genetic"
"612"	201	612	858	857	"Genetic"
"613"	206	613	858	857	"Genetic"
"614"	206	614	858	857	"Genetic"
"615"	206	615	858	857	"Genetic"
"616"	206	616	858	857	"Genetic"
"617"	206	617	858	857	"Genetic"
"618"	206	618	858	857	"Genetic"
"619"	224	619	858	857	"Genetic"
"620"	226	620	858	857	"Genetic"
"621"	229	621	858	857	"Genetic"
"622"	230	622	858	857	"Genetic"
"623"	230	623	858	857	"Genetic"
"624"	233	624	858	857	"Genetic"
"625"	239	625	858	857	"Genetic"
"626"	258	626	858	857	"Genetic"
"627"	262	627	858	857	"Genetic"
"628"	265	628	858	857	"Genetic"
"629"	267	629	858	857	"Genetic"
"630"	267	630	858	857	"Genetic"
"631"	281	631	858	857	"Genetic"
"632"	289	632	858	857	"Genetic"
"633"	291	633	858	857	"Genetic"
"634"	322	634	858	857	"Genetic"
"635"	333	635	858	857	"Genetic"
"636"	333	636	858	857	"Genetic"
"637"	342	637	858	857	"Genetic"
"638"	352	638	858	857	"Genetic"
"639"	352	639	858	857	"Genetic"
"640"	356	640	858	857	"Genetic"
"641"	359	641	858	857	"Genetic"
"642"	361	642	858	857	"Genetic"
"643"	362	643	858	857	"Genetic"
"644"	369	644	858	857	"Genetic"
"645"	375	645	858	857	"Genetic"
"646"	380	646	858	857	"Genetic"
"647"	380	647	858	857	"Genetic"
"648"	384	648	858	857	"Genetic"
"649"	385	649	858	857	"Genetic"
"650"	385	650	858	857	"Genetic"
"651"	385	651	858	857	"Genetic"
"652"	404	652	858	857	"Genetic"
"653"	407	653	858	857	"Genetic"
"654"	414	654	858	857	"Genetic"
"655"	414	655	858	857	"Genetic"
"656"	421	656	858	857	"Genetic"
"657"	433	657	858	857	"Genetic"
"658"	440	658	858	857	"Genetic"
