"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	900	857	"ROOT"
"2"	1	2	886	857	"Genetic"
"3"	1	3	886	857	"Genetic"
"4"	1	4	886	857	"Genetic"
"5"	1	5	886	857	"Genetic"
"6"	1	6	884	857	"Genetic"
"7"	1	7	884	857	"Genetic"
"8"	1	8	883	857	"Genetic"
"9"	1	9	882	857	"Genetic"
"10"	4	10	882	857	"Genetic"
"11"	4	11	881	857	"Genetic"
"12"	6	12	881	857	"Genetic"
"13"	6	13	881	857	"Genetic"
"14"	6	14	881	857	"Genetic"
"15"	6	15	881	857	"Genetic"
"16"	6	16	881	857	"Genetic"
"17"	12	17	880	857	"Genetic"
"18"	12	18	880	857	"Genetic"
"19"	12	19	880	857	"Genetic"
"20"	15	20	880	857	"Genetic"
"21"	1	21	879	857	"Genetic"
"22"	17	22	879	857	"Genetic"
"23"	1	23	878	857	"Genetic"
"24"	1	24	878	857	"Genetic"
"25"	1	25	878	857	"Genetic"
"26"	1	26	878	857	"Genetic"
"27"	15	27	878	857	"Genetic"
"28"	15	28	878	857	"Genetic"
"29"	17	29	878	857	"Genetic"
"30"	21	30	878	857	"Genetic"
"31"	22	31	878	857	"Genetic"
"32"	22	32	878	857	"Genetic"
"33"	11	33	877	857	"Genetic"
"34"	31	34	877	857	"Genetic"
"35"	1	35	876	857	"Genetic"
"36"	21	36	876	857	"Genetic"
"37"	23	37	876	857	"Genetic"
"38"	34	38	876	857	"Genetic"
"39"	1	39	875	857	"Genetic"
"40"	1	40	875	857	"Genetic"
"41"	1	41	875	857	"Genetic"
"42"	1	42	875	857	"Genetic"
"43"	21	43	875	857	"Genetic"
"44"	34	44	875	857	"Genetic"
"45"	34	45	875	857	"Genetic"
"46"	34	46	875	857	"Genetic"
"47"	34	47	875	857	"Genetic"
"48"	34	48	875	857	"Genetic"
"49"	1	49	874	857	"Genetic"
"50"	1	50	874	857	"Genetic"
"51"	21	51	874	857	"Genetic"
"52"	25	52	874	857	"Genetic"
"53"	34	53	874	857	"Genetic"
"54"	34	54	874	857	"Genetic"
"55"	44	55	874	857	"Genetic"
"56"	47	56	874	857	"Genetic"
"57"	1	57	873	857	"Genetic"
"58"	21	58	873	857	"Genetic"
"59"	28	59	873	857	"Genetic"
"60"	33	60	873	857	"Genetic"
"61"	43	61	873	857	"Genetic"
"62"	48	62	873	857	"Genetic"
"63"	53	63	873	857	"Genetic"
"64"	55	64	873	857	"Genetic"
"65"	55	65	873	857	"Genetic"
"66"	55	66	873	857	"Genetic"
"67"	1	67	872	857	"Genetic"
"68"	1	68	872	857	"Genetic"
"69"	1	69	872	857	"Genetic"
"70"	1	70	872	857	"Genetic"
"71"	1	71	872	857	"Genetic"
"72"	22	72	872	857	"Genetic"
"73"	28	73	872	857	"Genetic"
"74"	29	74	872	857	"Genetic"
"75"	34	75	872	857	"Genetic"
"76"	34	76	872	857	"Genetic"
"77"	34	77	872	857	"Genetic"
"78"	55	78	872	857	"Genetic"
"79"	55	79	872	857	"Genetic"
"80"	60	80	872	857	"Genetic"
"81"	60	81	872	857	"Genetic"
"82"	63	82	872	857	"Genetic"
"83"	4	83	871	857	"Genetic"
"84"	9	84	871	857	"Genetic"
"85"	29	85	871	857	"Genetic"
"86"	36	86	871	857	"Genetic"
"87"	36	87	871	857	"Genetic"
"88"	51	88	871	857	"Genetic"
"89"	52	89	871	857	"Genetic"
"90"	53	90	871	857	"Genetic"
"91"	60	91	871	857	"Genetic"
"92"	60	92	871	857	"Genetic"
"93"	68	93	871	857	"Genetic"
"94"	68	94	871	857	"Genetic"
"95"	75	95	871	857	"Genetic"
"96"	1	96	870	857	"Genetic"
"97"	1	97	870	857	"Genetic"
"98"	15	98	870	857	"Genetic"
"99"	15	99	870	857	"Genetic"
"100"	29	100	870	857	"Genetic"
"101"	51	101	870	857	"Genetic"
"102"	70	102	870	857	"Genetic"
"103"	70	103	870	857	"Genetic"
"104"	91	104	870	857	"Genetic"
"105"	91	105	870	857	"Genetic"
"106"	91	106	870	857	"Genetic"
"107"	93	107	870	857	"Genetic"
"108"	93	108	870	857	"Genetic"
"109"	93	109	870	857	"Genetic"
"110"	94	110	870	857	"Genetic"
"111"	9	111	869	857	"Genetic"
"112"	51	112	869	857	"Genetic"
"113"	55	113	869	857	"Genetic"
"114"	55	114	869	857	"Genetic"
"115"	70	115	869	857	"Genetic"
"116"	76	116	869	857	"Genetic"
"117"	76	117	869	857	"Genetic"
"118"	80	118	869	857	"Genetic"
"119"	80	119	869	857	"Genetic"
"120"	84	120	869	857	"Genetic"
"121"	91	121	869	857	"Genetic"
"122"	91	122	869	857	"Genetic"
"123"	93	123	869	857	"Genetic"
"124"	4	124	868	857	"Genetic"
"125"	7	125	868	857	"Genetic"
"126"	13	126	868	857	"Genetic"
"127"	55	127	868	857	"Genetic"
"128"	55	128	868	857	"Genetic"
"129"	55	129	868	857	"Genetic"
"130"	55	130	868	857	"Genetic"
"131"	55	131	868	857	"Genetic"
"132"	55	132	868	857	"Genetic"
"133"	63	133	868	857	"Genetic"
"134"	84	134	868	857	"Genetic"
"135"	91	135	868	857	"Genetic"
"136"	91	136	868	857	"Genetic"
"137"	93	137	868	857	"Genetic"
"138"	93	138	868	857	"Genetic"
"139"	97	139	868	857	"Genetic"
"140"	97	140	868	857	"Genetic"
"141"	103	141	868	857	"Genetic"
"142"	107	142	868	857	"Genetic"
"143"	114	143	868	857	"Genetic"
"144"	2	144	867	857	"Genetic"
"145"	3	145	867	857	"Genetic"
"146"	14	146	867	857	"Genetic"
"147"	17	147	867	857	"Genetic"
"148"	33	148	867	857	"Genetic"
"149"	82	149	867	857	"Genetic"
"150"	84	150	867	857	"Genetic"
"151"	91	151	867	857	"Genetic"
"152"	91	152	867	857	"Genetic"
"153"	93	153	867	857	"Genetic"
"154"	93	154	867	857	"Genetic"
"155"	100	155	867	857	"Genetic"
"156"	103	156	867	857	"Genetic"
"157"	104	157	867	857	"Genetic"
"158"	113	158	867	857	"Genetic"
"159"	113	159	867	857	"Genetic"
"160"	113	160	867	857	"Genetic"
"161"	113	161	867	857	"Genetic"
"162"	119	162	867	857	"Genetic"
"163"	130	163	867	857	"Genetic"
"164"	135	164	867	857	"Genetic"
"165"	135	165	867	857	"Genetic"
"166"	2	166	866	857	"Genetic"
"167"	3	167	866	857	"Genetic"
"168"	8	168	866	857	"Genetic"
"169"	11	169	866	857	"Genetic"
"170"	19	170	866	857	"Genetic"
"171"	63	171	866	857	"Genetic"
"172"	63	172	866	857	"Genetic"
"173"	63	173	866	857	"Genetic"
"174"	63	174	866	857	"Genetic"
"175"	83	175	866	857	"Genetic"
"176"	89	176	866	857	"Genetic"
"177"	103	177	866	857	"Genetic"
"178"	104	178	866	857	"Genetic"
"179"	114	179	866	857	"Genetic"
"180"	137	180	866	857	"Genetic"
"181"	151	181	866	857	"Genetic"
"182"	158	182	866	857	"Genetic"
"183"	3	183	865	857	"Genetic"
"184"	3	184	865	857	"Genetic"
"185"	3	185	865	857	"Genetic"
"186"	4	186	865	857	"Genetic"
"187"	4	187	865	857	"Genetic"
"188"	4	188	865	857	"Genetic"
"189"	4	189	865	857	"Genetic"
"190"	5	190	865	857	"Genetic"
"191"	10	191	865	857	"Genetic"
"192"	12	192	865	857	"Genetic"
"193"	12	193	865	857	"Genetic"
"194"	13	194	865	857	"Genetic"
"195"	14	195	865	857	"Genetic"
"196"	14	196	865	857	"Genetic"
"197"	14	197	865	857	"Genetic"
"198"	15	198	865	857	"Genetic"
"199"	21	199	865	857	"Genetic"
"200"	25	200	865	857	"Genetic"
"201"	33	201	865	857	"Genetic"
"202"	33	202	865	857	"Genetic"
"203"	33	203	865	857	"Genetic"
"204"	43	204	865	857	"Genetic"
"205"	50	205	865	857	"Genetic"
"206"	51	206	865	857	"Genetic"
"207"	63	207	865	857	"Genetic"
"208"	63	208	865	857	"Genetic"
"209"	70	209	865	857	"Genetic"
"210"	83	210	865	857	"Genetic"
"211"	84	211	865	857	"Genetic"
"212"	91	212	865	857	"Genetic"
"213"	103	213	865	857	"Genetic"
"214"	117	214	865	857	"Genetic"
"215"	135	215	865	857	"Genetic"
"216"	157	216	865	857	"Genetic"
"217"	158	217	865	857	"Genetic"
"218"	165	218	865	857	"Genetic"
"219"	165	219	865	857	"Genetic"
"220"	165	220	865	857	"Genetic"
"221"	167	221	865	857	"Genetic"
"222"	168	222	865	857	"Genetic"
"223"	169	223	865	857	"Genetic"
"224"	2	224	864	857	"Genetic"
"225"	4	225	864	857	"Genetic"
"226"	4	226	864	857	"Genetic"
"227"	5	227	864	857	"Genetic"
"228"	8	228	864	857	"Genetic"
"229"	10	229	864	857	"Genetic"
"230"	10	230	864	857	"Genetic"
"231"	10	231	864	857	"Genetic"
"232"	10	232	864	857	"Genetic"
"233"	11	233	864	857	"Genetic"
"234"	19	234	864	857	"Genetic"
"235"	24	235	864	857	"Genetic"
"236"	27	236	864	857	"Genetic"
"237"	29	237	864	857	"Genetic"
"238"	33	238	864	857	"Genetic"
"239"	33	239	864	857	"Genetic"
"240"	33	240	864	857	"Genetic"
"241"	47	241	864	857	"Genetic"
"242"	47	242	864	857	"Genetic"
"243"	54	243	864	857	"Genetic"
"244"	63	244	864	857	"Genetic"
"245"	83	245	864	857	"Genetic"
"246"	83	246	864	857	"Genetic"
"247"	83	247	864	857	"Genetic"
"248"	83	248	864	857	"Genetic"
"249"	87	249	864	857	"Genetic"
"250"	87	250	864	857	"Genetic"
"251"	103	251	864	857	"Genetic"
"252"	113	252	864	857	"Genetic"
"253"	113	253	864	857	"Genetic"
"254"	158	254	864	857	"Genetic"
"255"	164	255	864	857	"Genetic"
"256"	164	256	864	857	"Genetic"
"257"	168	257	864	857	"Genetic"
"258"	170	258	864	857	"Genetic"
"259"	173	259	864	857	"Genetic"
"260"	173	260	864	857	"Genetic"
"261"	173	261	864	857	"Genetic"
"262"	176	262	864	857	"Genetic"
"263"	191	263	864	857	"Genetic"
"264"	198	264	864	857	"Genetic"
"265"	212	265	864	857	"Genetic"
"266"	1	266	863	857	"Genetic"
"267"	1	267	863	857	"Genetic"
"268"	1	268	863	857	"Genetic"
"269"	2	269	863	857	"Genetic"
"270"	4	270	863	857	"Genetic"
"271"	4	271	863	857	"Genetic"
"272"	5	272	863	857	"Genetic"
"273"	5	273	863	857	"Genetic"
"274"	7	274	863	857	"Genetic"
"275"	7	275	863	857	"Genetic"
"276"	12	276	863	857	"Genetic"
"277"	19	277	863	857	"Genetic"
"278"	19	278	863	857	"Genetic"
"279"	21	279	863	857	"Genetic"
"280"	25	280	863	857	"Genetic"
"281"	26	281	863	857	"Genetic"
"282"	72	282	863	857	"Genetic"
"283"	73	283	863	857	"Genetic"
"284"	84	284	863	857	"Genetic"
"285"	98	285	863	857	"Genetic"
"286"	99	286	863	857	"Genetic"
"287"	113	287	863	857	"Genetic"
"288"	113	288	863	857	"Genetic"
"289"	113	289	863	857	"Genetic"
"290"	113	290	863	857	"Genetic"
"291"	128	291	863	857	"Genetic"
"292"	132	292	863	857	"Genetic"
"293"	137	293	863	857	"Genetic"
"294"	164	294	863	857	"Genetic"
"295"	164	295	863	857	"Genetic"
"296"	168	296	863	857	"Genetic"
"297"	169	297	863	857	"Genetic"
"298"	188	298	863	857	"Genetic"
"299"	221	299	863	857	"Genetic"
"300"	225	300	863	857	"Genetic"
"301"	225	301	863	857	"Genetic"
"302"	226	302	863	857	"Genetic"
"303"	226	303	863	857	"Genetic"
"304"	236	304	863	857	"Genetic"
"305"	238	305	863	857	"Genetic"
"306"	238	306	863	857	"Genetic"
"307"	238	307	863	857	"Genetic"
"308"	238	308	863	857	"Genetic"
"309"	242	309	863	857	"Genetic"
"310"	242	310	863	857	"Genetic"
"311"	245	311	863	857	"Genetic"
"312"	246	312	863	857	"Genetic"
"313"	250	313	863	857	"Genetic"
"314"	250	314	863	857	"Genetic"
"315"	2	315	862	857	"Genetic"
"316"	2	316	862	857	"Genetic"
"317"	6	317	862	857	"Genetic"
"318"	7	318	862	857	"Genetic"
"319"	7	319	862	857	"Genetic"
"320"	10	320	862	857	"Genetic"
"321"	10	321	862	857	"Genetic"
"322"	16	322	862	857	"Genetic"
"323"	16	323	862	857	"Genetic"
"324"	18	324	862	857	"Genetic"
"325"	18	325	862	857	"Genetic"
"326"	21	326	862	857	"Genetic"
"327"	21	327	862	857	"Genetic"
"328"	28	328	862	857	"Genetic"
"329"	33	329	862	857	"Genetic"
"330"	33	330	862	857	"Genetic"
"331"	33	331	862	857	"Genetic"
"332"	39	332	862	857	"Genetic"
"333"	51	333	862	857	"Genetic"
"334"	51	334	862	857	"Genetic"
"335"	63	335	862	857	"Genetic"
"336"	63	336	862	857	"Genetic"
"337"	63	337	862	857	"Genetic"
"338"	83	338	862	857	"Genetic"
"339"	84	339	862	857	"Genetic"
"340"	84	340	862	857	"Genetic"
"341"	84	341	862	857	"Genetic"
"342"	84	342	862	857	"Genetic"
"343"	89	343	862	857	"Genetic"
"344"	89	344	862	857	"Genetic"
"345"	96	345	862	857	"Genetic"
"346"	101	346	862	857	"Genetic"
"347"	110	347	862	857	"Genetic"
"348"	135	348	862	857	"Genetic"
"349"	137	349	862	857	"Genetic"
"350"	137	350	862	857	"Genetic"
"351"	137	351	862	857	"Genetic"
"352"	137	352	862	857	"Genetic"
"353"	158	353	862	857	"Genetic"
"354"	158	354	862	857	"Genetic"
"355"	182	355	862	857	"Genetic"
"356"	186	356	862	857	"Genetic"
"357"	190	357	862	857	"Genetic"
"358"	190	358	862	857	"Genetic"
"359"	194	359	862	857	"Genetic"
"360"	211	360	862	857	"Genetic"
"361"	225	361	862	857	"Genetic"
"362"	245	362	862	857	"Genetic"
"363"	261	363	862	857	"Genetic"
"364"	261	364	862	857	"Genetic"
"365"	272	365	862	857	"Genetic"
"366"	276	366	862	857	"Genetic"
"367"	276	367	862	857	"Genetic"
"368"	277	368	862	857	"Genetic"
"369"	290	369	862	857	"Genetic"
"370"	293	370	862	857	"Genetic"
"371"	295	371	862	857	"Genetic"
"372"	299	372	862	857	"Genetic"
"373"	305	373	862	857	"Genetic"
"374"	1	374	861	857	"Genetic"
"375"	1	375	861	857	"Genetic"
"376"	1	376	861	857	"Genetic"
"377"	2	377	861	857	"Genetic"
"378"	2	378	861	857	"Genetic"
"379"	2	379	861	857	"Genetic"
"380"	2	380	861	857	"Genetic"
"381"	2	381	861	857	"Genetic"
"382"	3	382	861	857	"Genetic"
"383"	4	383	861	857	"Genetic"
"384"	4	384	861	857	"Genetic"
"385"	6	385	861	857	"Genetic"
"386"	6	386	861	857	"Genetic"
"387"	10	387	861	857	"Genetic"
"388"	12	388	861	857	"Genetic"
"389"	15	389	861	857	"Genetic"
"390"	18	390	861	857	"Genetic"
"391"	24	391	861	857	"Genetic"
"392"	26	392	861	857	"Genetic"
"393"	27	393	861	857	"Genetic"
"394"	27	394	861	857	"Genetic"
"395"	27	395	861	857	"Genetic"
"396"	28	396	861	857	"Genetic"
"397"	29	397	861	857	"Genetic"
"398"	29	398	861	857	"Genetic"
"399"	34	399	861	857	"Genetic"
"400"	39	400	861	857	"Genetic"
"401"	42	401	861	857	"Genetic"
"402"	57	402	861	857	"Genetic"
"403"	83	403	861	857	"Genetic"
"404"	85	404	861	857	"Genetic"
"405"	89	405	861	857	"Genetic"
"406"	99	406	861	857	"Genetic"
"407"	99	407	861	857	"Genetic"
"408"	101	408	861	857	"Genetic"
"409"	103	409	861	857	"Genetic"
"410"	126	410	861	857	"Genetic"
"411"	137	411	861	857	"Genetic"
"412"	137	412	861	857	"Genetic"
"413"	137	413	861	857	"Genetic"
"414"	137	414	861	857	"Genetic"
"415"	137	415	861	857	"Genetic"
"416"	158	416	861	857	"Genetic"
"417"	158	417	861	857	"Genetic"
"418"	158	418	861	857	"Genetic"
"419"	161	419	861	857	"Genetic"
"420"	169	420	861	857	"Genetic"
"421"	173	421	861	857	"Genetic"
"422"	182	422	861	857	"Genetic"
"423"	185	423	861	857	"Genetic"
"424"	190	424	861	857	"Genetic"
"425"	190	425	861	857	"Genetic"
"426"	190	426	861	857	"Genetic"
"427"	206	427	861	857	"Genetic"
"428"	213	428	861	857	"Genetic"
"429"	213	429	861	857	"Genetic"
"430"	213	430	861	857	"Genetic"
"431"	213	431	861	857	"Genetic"
"432"	219	432	861	857	"Genetic"
"433"	225	433	861	857	"Genetic"
"434"	226	434	861	857	"Genetic"
"435"	226	435	861	857	"Genetic"
"436"	226	436	861	857	"Genetic"
"437"	226	437	861	857	"Genetic"
"438"	226	438	861	857	"Genetic"
"439"	252	439	861	857	"Genetic"
"440"	255	440	861	857	"Genetic"
"441"	255	441	861	857	"Genetic"
"442"	272	442	861	857	"Genetic"
"443"	274	443	861	857	"Genetic"
"444"	289	444	861	857	"Genetic"
"445"	306	445	861	857	"Genetic"
"446"	310	446	861	857	"Genetic"
"447"	324	447	861	857	"Genetic"
"448"	325	448	861	857	"Genetic"
"449"	325	449	861	857	"Genetic"
"450"	329	450	861	857	"Genetic"
"451"	329	451	861	857	"Genetic"
"452"	329	452	861	857	"Genetic"
"453"	329	453	861	857	"Genetic"
"454"	347	454	861	857	"Genetic"
"455"	348	455	861	857	"Genetic"
"456"	348	456	861	857	"Genetic"
"457"	348	457	861	857	"Genetic"
"458"	348	458	861	857	"Genetic"
"459"	352	459	861	857	"Genetic"
"460"	365	460	861	857	"Genetic"
"461"	366	461	861	857	"Genetic"
"462"	367	462	861	857	"Genetic"
"463"	367	463	861	857	"Genetic"
"464"	371	464	861	857	"Genetic"
"465"	372	465	861	857	"Genetic"
"466"	373	466	861	857	"Genetic"
"467"	1	467	860	857	"Genetic"
"468"	2	468	860	857	"Genetic"
"469"	2	469	860	857	"Genetic"
"470"	2	470	860	857	"Genetic"
"471"	2	471	860	857	"Genetic"
"472"	2	472	860	857	"Genetic"
"473"	2	473	860	857	"Genetic"
"474"	2	474	860	857	"Genetic"
"475"	6	475	860	857	"Genetic"
"476"	8	476	860	857	"Genetic"
"477"	16	477	860	857	"Genetic"
"478"	17	478	860	857	"Genetic"
"479"	17	479	860	857	"Genetic"
"480"	20	480	860	857	"Genetic"
"481"	21	481	860	857	"Genetic"
"482"	24	482	860	857	"Genetic"
"483"	24	483	860	857	"Genetic"
"484"	25	484	860	857	"Genetic"
"485"	25	485	860	857	"Genetic"
"486"	26	486	860	857	"Genetic"
"487"	26	487	860	857	"Genetic"
"488"	31	488	860	857	"Genetic"
"489"	47	489	860	857	"Genetic"
"490"	51	490	860	857	"Genetic"
"491"	80	491	860	857	"Genetic"
"492"	89	492	860	857	"Genetic"
"493"	89	493	860	857	"Genetic"
"494"	101	494	860	857	"Genetic"
"495"	103	495	860	857	"Genetic"
"496"	103	496	860	857	"Genetic"
"497"	103	497	860	857	"Genetic"
"498"	104	498	860	857	"Genetic"
"499"	128	499	860	857	"Genetic"
"500"	139	500	860	857	"Genetic"
"501"	168	501	860	857	"Genetic"
"502"	169	502	860	857	"Genetic"
"503"	173	503	860	857	"Genetic"
"504"	173	504	860	857	"Genetic"
"505"	173	505	860	857	"Genetic"
"506"	175	506	860	857	"Genetic"
"507"	186	507	860	857	"Genetic"
"508"	191	508	860	857	"Genetic"
"509"	195	509	860	857	"Genetic"
"510"	198	510	860	857	"Genetic"
"511"	245	511	860	857	"Genetic"
"512"	249	512	860	857	"Genetic"
"513"	249	513	860	857	"Genetic"
"514"	250	514	860	857	"Genetic"
"515"	252	515	860	857	"Genetic"
"516"	254	516	860	857	"Genetic"
"517"	254	517	860	857	"Genetic"
"518"	261	518	860	857	"Genetic"
"519"	266	519	860	857	"Genetic"
"520"	271	520	860	857	"Genetic"
"521"	277	521	860	857	"Genetic"
"522"	289	522	860	857	"Genetic"
"523"	293	523	860	857	"Genetic"
"524"	302	524	860	857	"Genetic"
"525"	323	525	860	857	"Genetic"
"526"	326	526	860	857	"Genetic"
"527"	329	527	860	857	"Genetic"
"528"	341	528	860	857	"Genetic"
"529"	345	529	860	857	"Genetic"
"530"	345	530	860	857	"Genetic"
"531"	352	531	860	857	"Genetic"
"532"	357	532	860	857	"Genetic"
"533"	357	533	860	857	"Genetic"
"534"	364	534	860	857	"Genetic"
"535"	364	535	860	857	"Genetic"
"536"	364	536	860	857	"Genetic"
"537"	364	537	860	857	"Genetic"
"538"	364	538	860	857	"Genetic"
"539"	364	539	860	857	"Genetic"
"540"	364	540	860	857	"Genetic"
"541"	365	541	860	857	"Genetic"
"542"	371	542	860	857	"Genetic"
"543"	393	543	860	857	"Genetic"
"544"	395	544	860	857	"Genetic"
"545"	395	545	860	857	"Genetic"
"546"	395	546	860	857	"Genetic"
"547"	396	547	860	857	"Genetic"
"548"	400	548	860	857	"Genetic"
"549"	400	549	860	857	"Genetic"
"550"	400	550	860	857	"Genetic"
"551"	409	551	860	857	"Genetic"
"552"	409	552	860	857	"Genetic"
"553"	410	553	860	857	"Genetic"
"554"	410	554	860	857	"Genetic"
"555"	410	555	860	857	"Genetic"
"556"	413	556	860	857	"Genetic"
"557"	420	557	860	857	"Genetic"
"558"	442	558	860	857	"Genetic"
"559"	447	559	860	857	"Genetic"
"560"	452	560	860	857	"Genetic"
"561"	455	561	860	857	"Genetic"
"562"	462	562	860	857	"Genetic"
"563"	462	563	860	857	"Genetic"
"564"	466	564	860	857	"Genetic"
"565"	466	565	860	857	"Genetic"
"566"	2	566	859	857	"Genetic"
"567"	3	567	859	857	"Genetic"
"568"	3	568	859	857	"Genetic"
"569"	5	569	859	857	"Genetic"
"570"	8	570	859	857	"Genetic"
"571"	8	571	859	857	"Genetic"
"572"	8	572	859	857	"Genetic"
"573"	8	573	859	857	"Genetic"
"574"	8	574	859	857	"Genetic"
"575"	8	575	859	857	"Genetic"
"576"	8	576	859	857	"Genetic"
"577"	8	577	859	857	"Genetic"
"578"	11	578	859	857	"Genetic"
"579"	11	579	859	857	"Genetic"
"580"	13	580	859	857	"Genetic"
"581"	14	581	859	857	"Genetic"
"582"	14	582	859	857	"Genetic"
"583"	17	583	859	857	"Genetic"
"584"	17	584	859	857	"Genetic"
"585"	17	585	859	857	"Genetic"
"586"	17	586	859	857	"Genetic"
"587"	20	587	859	857	"Genetic"
"588"	24	588	859	857	"Genetic"
"589"	25	589	859	857	"Genetic"
"590"	25	590	859	857	"Genetic"
"591"	25	591	859	857	"Genetic"
"592"	25	592	859	857	"Genetic"
"593"	25	593	859	857	"Genetic"
"594"	25	594	859	857	"Genetic"
"595"	26	595	859	857	"Genetic"
"596"	26	596	859	857	"Genetic"
"597"	30	597	859	857	"Genetic"
"598"	30	598	859	857	"Genetic"
"599"	30	599	859	857	"Genetic"
"600"	32	600	859	857	"Genetic"
"601"	32	601	859	857	"Genetic"
"602"	32	602	859	857	"Genetic"
"603"	32	603	859	857	"Genetic"
"604"	32	604	859	857	"Genetic"
"605"	32	605	859	857	"Genetic"
"606"	32	606	859	857	"Genetic"
"607"	32	607	859	857	"Genetic"
"608"	32	608	859	857	"Genetic"
"609"	40	609	859	857	"Genetic"
"610"	41	610	859	857	"Genetic"
"611"	43	611	859	857	"Genetic"
"612"	45	612	859	857	"Genetic"
"613"	47	613	859	857	"Genetic"
"614"	51	614	859	857	"Genetic"
"615"	55	615	859	857	"Genetic"
"616"	62	616	859	857	"Genetic"
"617"	62	617	859	857	"Genetic"
"618"	64	618	859	857	"Genetic"
"619"	64	619	859	857	"Genetic"
"620"	81	620	859	857	"Genetic"
"621"	83	621	859	857	"Genetic"
"622"	89	622	859	857	"Genetic"
"623"	89	623	859	857	"Genetic"
"624"	104	624	859	857	"Genetic"
"625"	104	625	859	857	"Genetic"
"626"	104	626	859	857	"Genetic"
"627"	169	627	859	857	"Genetic"
"628"	169	628	859	857	"Genetic"
"629"	173	629	859	857	"Genetic"
"630"	175	630	859	857	"Genetic"
"631"	183	631	859	857	"Genetic"
"632"	183	632	859	857	"Genetic"
"633"	183	633	859	857	"Genetic"
"634"	195	634	859	857	"Genetic"
"635"	195	635	859	857	"Genetic"
"636"	195	636	859	857	"Genetic"
"637"	198	637	859	857	"Genetic"
"638"	209	638	859	857	"Genetic"
"639"	209	639	859	857	"Genetic"
"640"	213	640	859	857	"Genetic"
"641"	214	641	859	857	"Genetic"
"642"	225	642	859	857	"Genetic"
"643"	238	643	859	857	"Genetic"
"644"	241	644	859	857	"Genetic"
"645"	250	645	859	857	"Genetic"
"646"	250	646	859	857	"Genetic"
"647"	250	647	859	857	"Genetic"
"648"	252	648	859	857	"Genetic"
"649"	265	649	859	857	"Genetic"
"650"	266	650	859	857	"Genetic"
"651"	283	651	859	857	"Genetic"
"652"	285	652	859	857	"Genetic"
"653"	285	653	859	857	"Genetic"
"654"	285	654	859	857	"Genetic"
"655"	306	655	859	857	"Genetic"
"656"	306	656	859	857	"Genetic"
"657"	306	657	859	857	"Genetic"
"658"	310	658	859	857	"Genetic"
