"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	900	867	"ROOT"
"2"	1	2	888	867	"Genetic"
"3"	1	3	886	867	"Genetic"
"4"	1	4	886	867	"Genetic"
"5"	1	5	886	867	"Genetic"
"6"	1	6	886	867	"Genetic"
"7"	1	7	886	867	"Genetic"
"8"	1	8	884	867	"Genetic"
"9"	6	9	882	867	"Genetic"
"10"	6	10	882	867	"Genetic"
"11"	6	11	882	867	"Genetic"
"12"	6	12	882	867	"Genetic"
"13"	6	13	881	867	"Genetic"
"14"	6	14	881	867	"Genetic"
"15"	6	15	881	867	"Genetic"
"16"	6	16	881	867	"Genetic"
"17"	6	17	880	867	"Genetic"
"18"	6	18	880	867	"Genetic"
"19"	6	19	880	867	"Genetic"
"20"	6	20	880	867	"Genetic"
"21"	6	21	880	867	"Genetic"
"22"	10	22	879	867	"Genetic"
"23"	10	23	879	867	"Genetic"
"24"	15	24	879	867	"Genetic"
"25"	18	25	879	867	"Genetic"
"26"	12	26	878	867	"Genetic"
"27"	18	27	878	867	"Genetic"
"28"	18	28	878	867	"Genetic"
"29"	18	29	878	867	"Genetic"
"30"	18	30	878	867	"Genetic"
"31"	18	31	878	867	"Genetic"
"32"	18	32	878	867	"Genetic"
"33"	22	33	878	867	"Genetic"
"34"	22	34	878	867	"Genetic"
"35"	22	35	878	867	"Genetic"
"36"	15	36	877	867	"Genetic"
"37"	15	37	877	867	"Genetic"
"38"	15	38	877	867	"Genetic"
"39"	22	39	877	867	"Genetic"
"40"	27	40	877	867	"Genetic"
"41"	22	41	876	867	"Genetic"
"42"	22	42	876	867	"Genetic"
"43"	27	43	876	867	"Genetic"
"44"	27	44	876	867	"Genetic"
"45"	27	45	876	867	"Genetic"
"46"	27	46	876	867	"Genetic"
"47"	27	47	876	867	"Genetic"
"48"	36	48	876	867	"Genetic"
"49"	22	49	875	867	"Genetic"
"50"	25	50	875	867	"Genetic"
"51"	36	51	875	867	"Genetic"
"52"	36	52	875	867	"Genetic"
"53"	36	53	875	867	"Genetic"
"54"	43	54	875	867	"Genetic"
"55"	43	55	875	867	"Genetic"
"56"	47	56	875	867	"Genetic"
"57"	47	57	875	867	"Genetic"
"58"	27	58	874	867	"Genetic"
"59"	27	59	874	867	"Genetic"
"60"	27	60	874	867	"Genetic"
"61"	27	61	874	867	"Genetic"
"62"	43	62	874	867	"Genetic"
"63"	43	63	874	867	"Genetic"
"64"	47	64	874	867	"Genetic"
"65"	47	65	874	867	"Genetic"
"66"	47	66	874	867	"Genetic"
"67"	50	67	874	867	"Genetic"
"68"	50	68	874	867	"Genetic"
"69"	50	69	874	867	"Genetic"
"70"	53	70	874	867	"Genetic"
"71"	12	71	873	867	"Genetic"
"72"	18	72	873	867	"Genetic"
"73"	47	73	873	867	"Genetic"
"74"	64	74	873	867	"Genetic"
"75"	64	75	873	867	"Genetic"
"76"	67	76	873	867	"Genetic"
"77"	12	77	872	867	"Genetic"
"78"	64	78	872	867	"Genetic"
"79"	64	79	872	867	"Genetic"
"80"	64	80	872	867	"Genetic"
"81"	64	81	872	867	"Genetic"
"82"	64	82	872	867	"Genetic"
"83"	68	83	872	867	"Genetic"
"84"	74	84	872	867	"Genetic"
"85"	67	85	871	867	"Genetic"
"86"	83	86	871	867	"Genetic"
"87"	8	87	870	867	"Genetic"
"88"	48	88	870	867	"Genetic"
"89"	53	89	870	867	"Genetic"
"90"	53	90	870	867	"Genetic"
"91"	59	91	870	867	"Genetic"
"92"	77	92	870	867	"Genetic"
"93"	7	93	869	867	"Genetic"
"94"	7	94	869	867	"Genetic"
"95"	7	95	869	867	"Genetic"
"96"	9	96	869	867	"Genetic"
"97"	27	97	869	867	"Genetic"
"98"	27	98	869	867	"Genetic"
"99"	8	99	868	867	"Genetic"
"100"	9	100	868	867	"Genetic"
"101"	9	101	868	867	"Genetic"
"102"	9	102	868	867	"Genetic"
"103"	9	103	868	867	"Genetic"
"104"	23	104	868	867	"Genetic"
"105"	37	105	868	867	"Genetic"
"106"	53	106	868	867	"Genetic"
"107"	64	107	868	867	"Genetic"
"108"	76	108	868	867	"Genetic"
"109"	76	109	868	867	"Genetic"
"110"	89	110	868	867	"Genetic"
"111"	94	111	868	867	"Genetic"
"112"	3	112	867	867	"Genetic"
"113"	7	113	867	867	"Genetic"
"114"	9	114	867	867	"Genetic"
"115"	17	115	867	867	"Genetic"
"116"	18	116	867	867	"Genetic"
"117"	23	117	867	867	"Genetic"
"118"	35	118	867	867	"Genetic"
"119"	89	119	867	867	"Genetic"
"120"	94	120	867	867	"Genetic"
"121"	94	121	867	867	"Genetic"
"122"	94	122	867	867	"Genetic"
"123"	99	123	867	867	"Genetic"
"124"	99	124	867	867	"Genetic"
"125"	99	125	867	867	"Genetic"
"126"	101	126	867	867	"Genetic"
"127"	101	127	867	867	"Genetic"
