"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	900	869	"ROOT"
"2"	1	2	887	869	"Genetic"
"3"	1	3	886	869	"Genetic"
"4"	2	4	886	869	"Genetic"
"5"	2	5	886	869	"Genetic"
"6"	2	6	884	869	"Genetic"
"7"	2	7	884	869	"Genetic"
"8"	2	8	884	869	"Genetic"
"9"	6	9	883	869	"Genetic"
"10"	2	10	882	869	"Genetic"
"11"	2	11	882	869	"Genetic"
"12"	2	12	882	869	"Genetic"
"13"	2	13	882	869	"Genetic"
"14"	2	14	882	869	"Genetic"
"15"	2	15	882	869	"Genetic"
"16"	2	16	882	869	"Genetic"
"17"	2	17	882	869	"Genetic"
"18"	2	18	882	869	"Genetic"
"19"	2	19	882	869	"Genetic"
"20"	2	20	882	869	"Genetic"
"21"	2	21	882	869	"Genetic"
"22"	2	22	882	869	"Genetic"
"23"	6	23	882	869	"Genetic"
"24"	6	24	882	869	"Genetic"
"25"	2	25	881	869	"Genetic"
"26"	2	26	881	869	"Genetic"
"27"	2	27	881	869	"Genetic"
"28"	22	28	881	869	"Genetic"
"29"	2	29	880	869	"Genetic"
"30"	2	30	880	869	"Genetic"
"31"	2	31	880	869	"Genetic"
"32"	2	32	880	869	"Genetic"
"33"	2	33	880	869	"Genetic"
"34"	2	34	880	869	"Genetic"
"35"	2	35	880	869	"Genetic"
"36"	2	36	880	869	"Genetic"
"37"	2	37	880	869	"Genetic"
"38"	2	38	880	869	"Genetic"
"39"	2	39	880	869	"Genetic"
"40"	2	40	880	869	"Genetic"
"41"	2	41	880	869	"Genetic"
"42"	2	42	879	869	"Genetic"
"43"	5	43	879	869	"Genetic"
"44"	16	44	879	869	"Genetic"
"45"	30	45	879	869	"Genetic"
"46"	2	46	878	869	"Genetic"
"47"	2	47	878	869	"Genetic"
"48"	2	48	878	869	"Genetic"
"49"	2	49	878	869	"Genetic"
"50"	5	50	878	869	"Genetic"
"51"	5	51	878	869	"Genetic"
"52"	6	52	878	869	"Genetic"
"53"	27	53	878	869	"Genetic"
